Cluster_Representative,Protein,Cluster_Annotation,Information_Level
biochar_4453_19,biochar_4453_19,DUF2637 domain-containing protein,Quasi
biochar_4453_19,biochar_315_47,DUF2637 domain-containing protein,Quasi
biochar_4453_19,biochar_293_76,DUF2637 domain-containing protein,Quasi
biochar_4597_9,biochar_4597_9,DUF3168 domain-containing protein,Quasi
biochar_4597_9,biochar_463_32,DUF3168 domain-containing protein,Quasi
biochar_4597_9,biochar_1900_37,DUF3168 domain-containing protein,Quasi
biochar_4597_9,biochar_2974_4,DUF3168 domain-containing protein,Quasi
biochar_3420_1,biochar_3420_1,"WARNING UniProt ID obsolete, info fetched from UniParc;RTL17230 : Uncharacterized protein (active UniProt ID: Y);A0A3S0DHR8 : Uncharacterized protein (active UniProt ID: N)",Low
biochar_3420_1,biochar_3087_15,"WARNING UniProt ID obsolete, info fetched from UniParc;RTL17230 : Uncharacterized protein (active UniProt ID: Y);A0A3S0DHR8 : Uncharacterized protein (active UniProt ID: N)",Low
biochar_3420_1,biochar_3426_12,"WARNING UniProt ID obsolete, info fetched from UniParc;RTL17230 : Uncharacterized protein (active UniProt ID: Y);A0A3S0DHR8 : Uncharacterized protein (active UniProt ID: N)",Low
biochar_3529_15,biochar_3529_15,Sialate O-acetylesterase domain-containing protein,Quasi
biochar_3529_15,biochar_4257_1,Sialate O-acetylesterase domain-containing protein,Quasi
biochar_3529_15,biochar_5405_4,Sialate O-acetylesterase domain-containing protein,Quasi
biochar_212_61,biochar_212_61,Minor tail protein,High
biochar_212_61,biochar_211_51,Minor tail protein,High
biochar_212_61,biochar_216_1,Minor tail protein,High
biochar_212_61,biochar_216_94,Minor tail protein,High
biochar_254_1,biochar_254_1,Imm-5-like domain-containing protein,Quasi
biochar_254_1,biochar_297_51,Imm-5-like domain-containing protein,Quasi
biochar_254_1,biochar_299_28,Imm-5-like domain-containing protein,Quasi
biochar_2541_3,biochar_2541_3,transposase,High
biochar_2541_3,biochar_1839_4,transposase,High
biochar_2541_3,biochar_4575_3,transposase,High
biochar_2411_1,biochar_2411_1,Unannotated protein,High
biochar_2411_1,biochar_1421_25,Unannotated protein,High
biochar_2411_1,biochar_1158_9,Unannotated protein,High
biochar_2411_1,biochar_432_29,Unannotated protein,High
biochar_2477_6,biochar_2477_6,Phage gp6-like head-tail connector protein,High
biochar_2477_6,biochar_2438_5,Phage gp6-like head-tail connector protein,High
biochar_2477_6,biochar_5876_12,Phage gp6-like head-tail connector protein,High
biochar_471_60,biochar_471_60,PQQ-binding-like beta-propeller repeat protein,High
biochar_471_60,biochar_1568_18,PQQ-binding-like beta-propeller repeat protein,High
biochar_471_60,biochar_3950_20,PQQ-binding-like beta-propeller repeat protein,High
biochar_792_14,biochar_792_14,Major tail protein,High
biochar_792_14,biochar_6131_1,Major tail protein,High
biochar_792_14,biochar_1548_14,Major tail protein,High
biochar_2943_7,biochar_2943_7,Bacterial Ig-like domain-containing protein,Quasi
biochar_2943_7,biochar_2390_15,Bacterial Ig-like domain-containing protein,Quasi
biochar_2943_7,biochar_2366_16,Bacterial Ig-like domain-containing protein,Quasi
biochar_981_36,biochar_981_36,Tail protein,High
biochar_981_36,biochar_2990_13,Tail protein,High
biochar_981_36,biochar_165_55,Tail protein,High
biochar_3909_31,biochar_3909_31,Terminase,High
biochar_3909_31,biochar_4280_2,Terminase,High
biochar_3909_31,biochar_1985_18,Terminase,High
biochar_3941_6,biochar_3941_6,Unannotated protein,High
biochar_3941_6,biochar_1421_22,Unannotated protein,High
biochar_3941_6,biochar_432_26,Unannotated protein,High
biochar_3941_6,biochar_1158_12,Unannotated protein,High
biochar_897_12,biochar_897_12,Major tail protein,High
biochar_897_12,biochar_2280_3,Major tail protein,High
biochar_897_12,biochar_881_9,Major tail protein,High
biochar_1885_38,biochar_1885_38,endonuclease,High
biochar_1885_38,biochar_4538_17,endonuclease,High
biochar_1885_38,biochar_4882_17,endonuclease,High
biochar_1885_38,biochar_4333_12,endonuclease,High
biochar_793_37,biochar_793_37,single strand DNA binding protein,High
biochar_793_37,biochar_799_1,single strand DNA binding protein,High
biochar_793_37,biochar_799_55,single strand DNA binding protein,High
biochar_867_10,biochar_867_10,Peptidase C1A papain C-terminal domain-containing protein,Quasi
biochar_867_10,biochar_853_1,Peptidase C1A papain C-terminal domain-containing protein,Quasi
biochar_867_10,biochar_853_61,Peptidase C1A papain C-terminal domain-containing protein,Quasi
biochar_1900_1,biochar_1900_1,DNA polymerase,High
biochar_1900_1,biochar_463_69,DNA polymerase,High
biochar_1900_1,biochar_2112_3,DNA polymerase,High
biochar_3090_18,biochar_3090_18,DUF935 family protein,Quasi
biochar_3090_18,biochar_55_1,DUF935 family protein,Quasi
biochar_3090_18,biochar_55_117,DUF935 family protein,Quasi
biochar_1568_17,biochar_1568_17,Minor tail protein,High
biochar_1568_17,biochar_3950_21,Minor tail protein,High
biochar_1568_17,biochar_471_59,Minor tail protein,High
biochar_274_57,biochar_274_57,2OG-Fe(II) oxygenase,High
biochar_274_57,biochar_1896_26,2OG-Fe(II) oxygenase,High
biochar_274_57,biochar_281_1,2OG-Fe(II) oxygenase,High
biochar_274_57,biochar_4013_20,2OG-Fe(II) oxygenase,High
biochar_274_57,biochar_1406_12,2OG-Fe(II) oxygenase,High
biochar_293_13,biochar_293_13,Transposase,High
biochar_293_13,biochar_1827_1,Transposase,High
biochar_293_13,biochar_4453_1,Transposase,High
biochar_5759_15,biochar_5759_15,Capsid protein,High
biochar_5759_15,biochar_2014_9,Capsid protein,High
biochar_5759_15,biochar_367_69,Capsid protein,High
biochar_5060_3,biochar_5060_3,Fibrobacter succinogenes major paralogous domain-containing protein,Quasi
biochar_5060_3,biochar_563_3,Fibrobacter succinogenes major paralogous domain-containing protein,Quasi
biochar_5060_3,biochar_587_19,Fibrobacter succinogenes major paralogous domain-containing protein,Quasi
biochar_994_1,biochar_994_1,Phage tail assembly protein,High
biochar_994_1,biochar_2273_4,Phage tail assembly protein,High
biochar_994_1,biochar_918_11,Phage tail assembly protein,High
biochar_1001_17,biochar_1001_17,Phage tail collar domain-containing protein,Quasi
biochar_1001_17,biochar_1005_1,Phage tail collar domain-containing protein,Quasi
biochar_1001_17,biochar_1005_64,Phage tail collar domain-containing protein,Quasi
biochar_2710_9,biochar_2710_9,Tail protein,High
biochar_2710_9,biochar_1711_39,Tail protein,High
biochar_2710_9,biochar_2666_2,Tail protein,High
biochar_346_62,biochar_346_62,DNA primase,High
biochar_346_62,biochar_349_1,DNA primase,High
biochar_346_62,biochar_349_75,DNA primase,High
biochar_918_68,biochar_918_68,Phage protein,Quasi
biochar_918_68,biochar_994_15,Phage protein,Quasi
biochar_918_68,biochar_964_62,Phage protein,Quasi
biochar_3838_3,biochar_3838_3,DUF2313 domain-containing protein,Quasi
biochar_3838_3,biochar_170_37,DUF2313 domain-containing protein,Quasi
biochar_3838_3,biochar_5844_2,DUF2313 domain-containing protein,Quasi
biochar_188_37,biochar_188_37,Class I SAM-dependent methyltransferase,High
biochar_188_37,biochar_190_20,Class I SAM-dependent methyltransferase,High
biochar_188_37,biochar_187_80,Class I SAM-dependent methyltransferase,High
biochar_188_37,biochar_187_1,Class I SAM-dependent methyltransferase,High
biochar_2408_19,biochar_2408_19,RES domain-containing protein,Quasi
biochar_2408_19,biochar_2689_19,RES domain-containing protein,Quasi
biochar_2408_19,biochar_1238_8,RES domain-containing protein,Quasi
biochar_3941_5,biochar_3941_5,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_3941_5,biochar_1421_21,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_3941_5,biochar_432_25,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_3941_5,biochar_1158_13,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_600_14,biochar_600_14,DegT/DnrJ/EryC1/StrS aminotransferase family protein,High
biochar_600_14,biochar_1971_19,DegT/DnrJ/EryC1/StrS aminotransferase family protein,High
biochar_600_14,biochar_1787_17,DegT/DnrJ/EryC1/StrS aminotransferase family protein,High
biochar_625_15,biochar_625_15,transcriptional repressor,High
biochar_625_15,biochar_640_1,transcriptional repressor,High
biochar_625_15,biochar_640_77,transcriptional repressor,High
TemPhD_cluster_10199_7,TemPhD_cluster_10199_7,endolysin,High
TemPhD_cluster_10199_7,IMGVR_UViG_2568526011_000002|2568526011|2568526740_40,endolysin,High
TemPhD_cluster_10199_7,NP_490638.1,endolysin,High
TemPhD_cluster_10199_7,TemPhD_cluster_10609_40,endolysin,High
TemPhD_cluster_10199_7,1585564934,endolysin,High
biochar_3857_4,biochar_3857_4,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_3857_4,biochar_678_21,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_3857_4,biochar_59_86,Bacteriophage Mu GpT domain-containing protein,Quasi
biochar_3943_2,biochar_3943_2,Ubiquitin-activating enzyme E1 FCCH domain-containing protein,Quasi
biochar_3943_2,biochar_2640_30,Ubiquitin-activating enzyme E1 FCCH domain-containing protein,Quasi
biochar_3943_2,biochar_2064_1,Ubiquitin-activating enzyme E1 FCCH domain-containing protein,Quasi
biochar_625_57,biochar_625_57,Portal protein,High
biochar_625_57,biochar_642_1,Portal protein,High
biochar_625_57,biochar_642_77,Portal protein,High
biochar_3570_10,biochar_3570_10,Phage portal protein,High
biochar_3570_10,biochar_1725_20,Phage portal protein,High
biochar_3570_10,biochar_3190_3,Phage portal protein,High
biochar_1797_19,biochar_1797_19,RES domain-containing protein,Quasi
biochar_1797_19,biochar_314_79,RES domain-containing protein,Quasi
biochar_1797_19,biochar_1141_45,RES domain-containing protein,Quasi
biochar_1987_1,biochar_1987_1,virion structural protein,High
biochar_1987_1,biochar_4782_11,virion structural protein,High
biochar_1987_1,biochar_1803_41,virion structural protein,High
biochar_875_38,biochar_875_38,Type-4 uracil-DNA glycosylase (EC 2.7.7.7),High
biochar_875_38,biochar_502_64,Type-4 uracil-DNA glycosylase (EC 2.7.7.7),High
biochar_875_38,biochar_502_1,Type-4 uracil-DNA glycosylase (EC 2.7.7.7),High
biochar_4912_13,biochar_4912_13,Glycosyltransferase 2-like domain-containing protein,Quasi
biochar_4912_13,biochar_2583_14,Glycosyltransferase 2-like domain-containing protein,Quasi
biochar_4912_13,biochar_6031_3,Glycosyltransferase 2-like domain-containing protein,Quasi
TemPhD_cluster_13835_29,TemPhD_cluster_13835_29,tail length tape measure protein,High
TemPhD_cluster_13835_29,1774219701,tail length tape measure protein,High
TemPhD_cluster_13835_29,IMGVR_UViG_2619619278_000004|2619619278|2619687484_53,tail length tape measure protein,High
biochar_1127_14,biochar_1127_14,Tail sheath protein subtilisin-like domain-containing protein,Quasi
biochar_1127_14,biochar_1062_30,Tail sheath protein subtilisin-like domain-containing protein,Quasi
biochar_1127_14,biochar_1359_2,Tail sheath protein subtilisin-like domain-containing protein,Quasi
biochar_779_59,biochar_779_59,DnaC-like helicase loader,High
biochar_779_59,biochar_771_74,DnaC-like helicase loader,High
biochar_779_59,biochar_771_1,DnaC-like helicase loader,High
biochar_1796_35,biochar_1796_35,Carbohydrate binding protein,High
biochar_1796_35,biochar_1674_37,Carbohydrate binding protein,High
biochar_1796_35,biochar_691_16,Carbohydrate binding protein,High
biochar_5399_5,biochar_5399_5,Virion structural protein,High
biochar_5399_5,biochar_3602_3,Virion structural protein,High
biochar_5399_5,biochar_4138_15,Virion structural protein,High
biochar_5399_5,biochar_3928_13,Virion structural protein,High
biochar_1271_9,biochar_1271_9,Terminase,High
biochar_1271_9,biochar_5358_3,Terminase,High
biochar_1271_9,biochar_2134_8,Terminase,High
TemPhD_cluster_13835_54,TemPhD_cluster_13835_54,Lar-like restriction alleviation protein,High
TemPhD_cluster_13835_54,YP_009273751.1,Lar-like restriction alleviation protein,High
TemPhD_cluster_13835_54,AFQ22075.1,Lar-like restriction alleviation protein,High
biochar_2253_8,biochar_2253_8,Minor tail protein,High
biochar_2253_8,biochar_2543_13,Minor tail protein,High
biochar_2253_8,biochar_2191_9,Minor tail protein,High
biochar_419_49,biochar_419_49,Unannotated protein,High
biochar_419_49,biochar_282_43,Unannotated protein,High
biochar_419_49,biochar_1652_14,Unannotated protein,High
biochar_3596_4,biochar_3596_4,Uncharacterized protein,Low
biochar_3596_4,biochar_1714_11,Uncharacterized protein,Low
biochar_3596_4,biochar_3858_7,Uncharacterized protein,Low
biochar_644_13,biochar_644_13,minor tail protein,High
biochar_644_13,biochar_638_57,minor tail protein,High
biochar_644_13,biochar_638_1,minor tail protein,High
biochar_5025_16,biochar_5025_16,WxL domain-containing protein,Quasi
biochar_5025_16,biochar_5034_14,WxL domain-containing protein,Quasi
biochar_5025_16,biochar_967_23,WxL domain-containing protein,Quasi
biochar_5034_19,biochar_5034_19,Virion structural protein,High
biochar_5034_19,biochar_5025_11,Virion structural protein,High
biochar_5034_19,biochar_1387_38,Virion structural protein,High
biochar_5034_19,biochar_967_28,Virion structural protein,High
biochar_1568_8,biochar_1568_8,Peptidoglycan-binding protein,High
biochar_1568_8,biochar_2667_6,Peptidoglycan-binding protein,High
biochar_1568_8,biochar_471_50,Peptidoglycan-binding protein,High
biochar_1704_16,biochar_1704_16,Phage tail protein,High
biochar_1704_16,biochar_5057_17,Phage tail protein,High
biochar_1704_16,biochar_2140_1,Phage tail protein,High
biochar_2596_20,biochar_2596_20,Tail protein,High
biochar_2596_20,biochar_2522_20,Tail protein,High
biochar_2596_20,biochar_3085_10,Tail protein,High
biochar_2650_27,biochar_2650_27,major tail protein,High
biochar_2650_27,biochar_16_62,major tail protein,High
biochar_2650_27,biochar_1227_16,major tail protein,High
biochar_2650_27,biochar_1909_17,major tail protein,High
biochar_2650_27,biochar_484_61,major tail protein,High
biochar_2738_25,biochar_2738_25,PD-(D/E)XK nuclease family protein,High
biochar_2738_25,biochar_6085_16,PD-(D/E)XK nuclease family protein,High
biochar_2738_25,biochar_2555_25,PD-(D/E)XK nuclease family protein,High
biochar_4395_13,biochar_4395_13,Phage tail protein,High
biochar_4395_13,biochar_4025_3,Phage tail protein,High
biochar_4395_13,biochar_3496_11,Phage tail protein,High
biochar_1387_30,biochar_1387_30,HK97 gp10 family phage protein,Quasi
biochar_1387_30,biochar_967_20,HK97 gp10 family phage protein,Quasi
biochar_1387_30,biochar_5034_11,HK97 gp10 family phage protein,Quasi
biochar_327_73,biochar_327_73,Terminase small subunit,High
biochar_327_73,biochar_363_66,Terminase small subunit,High
biochar_327_73,biochar_326_1,Terminase small subunit,High
biochar_327_73,biochar_326_81,Terminase small subunit,High
biochar_13_92,biochar_13_92,SbcC-like subunit of palindrome specific endonuclease,High
biochar_13_92,biochar_359_64,SbcC-like subunit of palindrome specific endonuclease,High
biochar_13_92,biochar_359_65,SbcC-like subunit of palindrome specific endonuclease,High
biochar_4214_3,biochar_4214_3,Phage tail protein,High
biochar_4214_3,biochar_3080_6,Phage tail protein,High
biochar_4214_3,biochar_2762_16,Phage tail protein,High
biochar_4453_18,biochar_4453_18,Uncharacterized protein,Low
biochar_4453_18,biochar_315_46,Uncharacterized protein,Low
biochar_4453_18,biochar_293_77,Uncharacterized protein,Low
biochar_326_12,biochar_326_12,internal virion protein,High
biochar_326_12,biochar_328_81,internal virion protein,High
biochar_326_12,biochar_363_1,internal virion protein,High
biochar_326_12,biochar_2986_4,internal virion protein,High
biochar_326_12,biochar_328_1,internal virion protein,High
biochar_396_4,biochar_396_4,internal virion protein,High
biochar_396_4,biochar_414_1,internal virion protein,High
biochar_396_4,biochar_414_61,internal virion protein,High
biochar_3529_10,biochar_3529_10,Bacteriophage tail tape measure N-terminal domain-containing protein,Quasi
biochar_3529_10,biochar_4257_7,Bacteriophage tail tape measure N-terminal domain-containing protein,Quasi
biochar_3529_10,biochar_3237_22,Bacteriophage tail tape measure N-terminal domain-containing protein,Quasi
biochar_3529_10,biochar_5405_10,Bacteriophage tail tape measure N-terminal domain-containing protein,Quasi
biochar_6085_1,biochar_6085_1,LamG-like jellyroll fold domain-containing protein,Quasi
biochar_6085_1,biochar_5390_1,LamG-like jellyroll fold domain-containing protein,Quasi
biochar_6085_1,biochar_2555_11,LamG-like jellyroll fold domain-containing protein,Quasi
biochar_2664_22,biochar_2664_22,Phage major capsid protein,High
biochar_2664_22,biochar_2920_2,Phage major capsid protein,High
biochar_2664_22,biochar_835_1,Phage major capsid protein,High
biochar_2879_16,biochar_2879_16,Terminase small subunit,High
biochar_2879_16,biochar_1034_69,Terminase small subunit,High
biochar_2879_16,biochar_1034_1,Terminase small subunit,High
biochar_3520_21,biochar_3520_21,Holliday junction nuclease RuvC,High
biochar_3520_21,biochar_21_92,Holliday junction nuclease RuvC,High
biochar_3520_21,biochar_4660_2,Holliday junction nuclease RuvC,High
biochar_850_65,biochar_850_65,Phage tail protein,High
biochar_850_65,biochar_852_67,Phage tail protein,High
biochar_850_65,biochar_852_1,Phage tail protein,High
biochar_1684_20,biochar_1684_20,Terminase,High
biochar_1684_20,biochar_1147_17,Terminase,High
biochar_1684_20,biochar_1509_13,Terminase,High
biochar_285_24,biochar_285_24,minor head protein,High
biochar_285_24,biochar_1842_49,minor head protein,High
biochar_285_24,biochar_3676_1,minor head protein,High
biochar_4463_17,biochar_4463_17,Exodeoxyribonuclease X-like C-terminal domain-containing protein,Quasi
biochar_4463_17,biochar_2686_26,Exodeoxyribonuclease X-like C-terminal domain-containing protein,Quasi
biochar_4463_17,biochar_1437_1,Exodeoxyribonuclease X-like C-terminal domain-containing protein,Quasi
biochar_1790_8,biochar_1790_8,Phage tail protein,High
biochar_1790_8,biochar_1448_8,Phage tail protein,High
biochar_1790_8,biochar_5209_7,Phage tail protein,High
biochar_1808_19,biochar_1808_19,Heterokaryon incompatibility domain-containing protein,Quasi
biochar_1808_19,biochar_1127_28,Heterokaryon incompatibility domain-containing protein,Quasi
biochar_1808_19,biochar_1062_16,Heterokaryon incompatibility domain-containing protein,Quasi
biochar_721_33,biochar_721_33,DarB-like antirestriction,High
biochar_721_33,biochar_5358_1,DarB-like antirestriction,High
biochar_721_33,biochar_660_1,DarB-like antirestriction,High
biochar_760_31,biochar_760_31,virion structural protein,High
biochar_760_31,biochar_762_1,virion structural protein,High
biochar_760_31,biochar_762_71,virion structural protein,High
biochar_72_1,biochar_72_1,head-tail adaptor Ad1,High
biochar_72_1,biochar_3855_18,head-tail adaptor Ad1,High
biochar_72_1,biochar_71_16,head-tail adaptor Ad1,High
biochar_5356_13,biochar_5356_13,DUF3168 domain-containing protein,Quasi
biochar_5356_13,biochar_4098_9,DUF3168 domain-containing protein,Quasi
biochar_5356_13,biochar_5975_2,DUF3168 domain-containing protein,Quasi
biochar_4098_8,biochar_4098_8,Type VI secretion system tube protein Hcp,High
biochar_4098_8,biochar_5975_3,Type VI secretion system tube protein Hcp,High
biochar_4098_8,biochar_5356_12,Type VI secretion system tube protein Hcp,High
biochar_2056_7,biochar_2056_7,Phage major capsid protein,High
biochar_2056_7,biochar_2804_7,Phage major capsid protein,High
biochar_2056_7,biochar_877_6,Phage major capsid protein,High
biochar_2056_7,biochar_3394_2,Phage major capsid protein,High
biochar_4768_1,biochar_4768_1,Phage capsid-like C-terminal domain-containing protein,Quasi
biochar_4768_1,biochar_1809_21,Phage capsid-like C-terminal domain-containing protein,Quasi
biochar_4768_1,biochar_48_93,Phage capsid-like C-terminal domain-containing protein,Quasi
biochar_2887_34,biochar_2887_34,"WARNING UniProt ID obsolete, info fetched from UniParc;WP_116821553 : adenylate kinase (active UniProt ID: Y);AXN39832 : Adenylate kinase (active UniProt ID: Y);A0A7U6H5N0 : Adenylate kinase (active UniProt ID: N)",Low
biochar_2887_34,biochar_2440_34,"WARNING UniProt ID obsolete, info fetched from UniParc;WP_116821553 : adenylate kinase (active UniProt ID: Y);AXN39832 : Adenylate kinase (active UniProt ID: Y);A0A7U6H5N0 : Adenylate kinase (active UniProt ID: N)",Low
biochar_2887_34,biochar_1587_20,"WARNING UniProt ID obsolete, info fetched from UniParc;WP_116821553 : adenylate kinase (active UniProt ID: Y);AXN39832 : Adenylate kinase (active UniProt ID: Y);A0A7U6H5N0 : Adenylate kinase (active UniProt ID: N)",Low
biochar_1491_29,biochar_1491_29,Terminase,High
biochar_1491_29,biochar_731_1,Terminase,High
biochar_1491_29,biochar_731_53,Terminase,High
biochar_652_58,biochar_652_58,Phage major capsid protein,High
biochar_652_58,biochar_740_1,Phage major capsid protein,High
biochar_652_58,biochar_652_1,Phage major capsid protein,High
biochar_652_58,biochar_789_24,Phage major capsid protein,High
biochar_652_58,biochar_4855_3,Phage major capsid protein,High
biochar_652_58,biochar_737_29,Phage major capsid protein,High
biochar_652_58,biochar_653_39,Phage major capsid protein,High
biochar_652_58,biochar_3225_6,Phage major capsid protein,High
TemPhD_cluster_11622_62,TemPhD_cluster_11622_62,tail fiber protein,High
TemPhD_cluster_11622_62,IMGVR_UViG_2579778953_000002|2579778953|2579834327_1,tail fiber protein,High
TemPhD_cluster_11622_62,TemPhD_cluster_13851_63,tail fiber protein,High
TemPhD_cluster_11622_62,YP_009275686.1,tail fiber protein,High
biochar_918_6,biochar_918_6,BppU N-terminal domain-containing protein,Quasi
biochar_918_6,biochar_2273_9,BppU N-terminal domain-containing protein,Quasi
biochar_918_6,biochar_994_6,BppU N-terminal domain-containing protein,Quasi
biochar_918_6,biochar_964_52,BppU N-terminal domain-containing protein,Quasi
biochar_1006_15,biochar_1006_15,Tail assembly chaperone,High
biochar_1006_15,biochar_833_52,Tail assembly chaperone,High
biochar_1006_15,biochar_833_1,Tail assembly chaperone,High
biochar_185_4,biochar_185_4,Glycosyl transferase family 17,High
biochar_185_4,biochar_2791_19,Glycosyl transferase family 17,High
biochar_185_4,biochar_1772_10,Glycosyl transferase family 17,High
biochar_2438_3,biochar_2438_3,Tail protein,High
biochar_2438_3,biochar_2477_4,Tail protein,High
biochar_2438_3,biochar_5421_14,Tail protein,High
biochar_2438_3,biochar_2970_23,Tail protein,High
biochar_1679_13,biochar_1679_13,Glycosyltransferase,High
biochar_1679_13,biochar_200_1,Glycosyltransferase,High
biochar_1679_13,biochar_200_72,Glycosyltransferase,High
biochar_444_61,biochar_444_61,Tail protein,High
biochar_444_61,biochar_446_1,Tail protein,High
biochar_444_61,biochar_446_68,Tail protein,High
biochar_453_1,biochar_453_1,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,High
biochar_453_1,biochar_462_29,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,High
biochar_453_1,biochar_453_77,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,High
biochar_2650_30,biochar_2650_30,tail terminator,High
biochar_2650_30,biochar_1683_42,tail terminator,High
biochar_2650_30,biochar_1909_13,tail terminator,High
biochar_2650_30,biochar_484_58,tail terminator,High
biochar_2650_30,biochar_3400_24,tail terminator,High
biochar_2650_30,biochar_4538_1,tail terminator,High
biochar_688_51,biochar_688_51,exonuclease,High
biochar_688_51,biochar_5923_4,exonuclease,High
biochar_688_51,biochar_4818_4,exonuclease,High
biochar_2804_11,biochar_2804_11,Bacteriophage lambda head decoration protein D,High
biochar_2804_11,biochar_4305_9,Bacteriophage lambda head decoration protein D,High
biochar_2804_11,biochar_4189_11,Bacteriophage lambda head decoration protein D,High
biochar_2835_12,biochar_2835_12,Major tail protein,High
biochar_2835_12,biochar_688_1,Major tail protein,High
biochar_2835_12,biochar_4818_20,Major tail protein,High
biochar_2835_12,biochar_688_64,Major tail protein,High
biochar_1722_1,biochar_1722_1,Uncharacterized protein,Low
biochar_1722_1,biochar_1478_25,Uncharacterized protein,Low
biochar_1722_1,biochar_2326_22,Uncharacterized protein,Low
biochar_1787_14,biochar_1787_14,Phytanoyl-CoA dioxygenase,High
biochar_1787_14,biochar_1971_16,Phytanoyl-CoA dioxygenase,High
biochar_1787_14,biochar_600_11,Phytanoyl-CoA dioxygenase,High
biochar_357_39,biochar_357_39,Pentapeptide repeat-containing protein,High
biochar_357_39,biochar_356_67,Pentapeptide repeat-containing protein,High
biochar_357_39,biochar_356_1,Pentapeptide repeat-containing protein,High
biochar_1787_16,biochar_1787_16,Acetyltransferase,High
biochar_1787_16,biochar_600_13,Acetyltransferase,High
biochar_1787_16,biochar_1971_18,Acetyltransferase,High
biochar_1796_36,biochar_1796_36,DUF5047 domain-containing protein,Quasi
biochar_1796_36,biochar_1674_38,DUF5047 domain-containing protein,Quasi
biochar_1796_36,biochar_691_17,DUF5047 domain-containing protein,Quasi
biochar_1660_20,biochar_1660_20,N-acetyltransferase domain-containing protein,Quasi
biochar_1660_20,biochar_1714_19,N-acetyltransferase domain-containing protein,Quasi
biochar_1660_20,biochar_4754_13,N-acetyltransferase domain-containing protein,Quasi
biochar_1660_20,biochar_3596_13,N-acetyltransferase domain-containing protein,Quasi
biochar_1660_20,biochar_3858_16,N-acetyltransferase domain-containing protein,Quasi
biochar_112_41,biochar_112_41,virion structural protein,High
biochar_112_41,biochar_113_1,virion structural protein,High
biochar_112_41,biochar_113_89,virion structural protein,High
biochar_122_30,biochar_122_30,ADP-ribose pyrophosphatase YjhB (NUDIX family),High
biochar_122_30,biochar_123_1,ADP-ribose pyrophosphatase YjhB (NUDIX family),High
biochar_122_30,biochar_123_76,ADP-ribose pyrophosphatase YjhB (NUDIX family),High
biochar_2250_6,biochar_2250_6,Phage protein,Quasi
biochar_2250_6,biochar_3162_12,Phage protein,Quasi
biochar_2250_6,biochar_4628_6,Phage protein,Quasi
biochar_396_55,biochar_396_55,major tail protein,High
biochar_396_55,biochar_467_7,major tail protein,High
biochar_396_55,biochar_400_1,major tail protein,High
biochar_396_55,biochar_400_61,major tail protein,High
biochar_406_47,biochar_406_47,internal virion protein,High
biochar_406_47,biochar_404_37,internal virion protein,High
biochar_406_47,biochar_405_1,internal virion protein,High
biochar_406_47,biochar_405_77,internal virion protein,High
biochar_909_36,biochar_909_36,Neck protein,High
biochar_909_36,biochar_960_1,Neck protein,High
biochar_909_36,biochar_960_65,Neck protein,High
biochar_4138_10,biochar_4138_10,Scaffolding protein,High
biochar_4138_10,biochar_3928_8,Scaffolding protein,High
biochar_4138_10,biochar_4991_9,Scaffolding protein,High
biochar_4098_4,biochar_4098_4,DUF2341 domain-containing protein,Quasi
biochar_4098_4,biochar_5356_8,DUF2341 domain-containing protein,Quasi
biochar_4098_4,biochar_5975_7,DUF2341 domain-containing protein,Quasi
biochar_5678_11,biochar_5678_11,Terminase large subunit gp17-like C-terminal domain-containing protein,Quasi
biochar_5678_11,biochar_2574_11,Terminase large subunit gp17-like C-terminal domain-containing protein,Quasi
biochar_5678_11,biochar_2603_18,Terminase large subunit gp17-like C-terminal domain-containing protein,Quasi
biochar_2260_20,biochar_2260_20,DUF4433 domain-containing protein,Quasi
biochar_2260_20,biochar_14_168,DUF4433 domain-containing protein,Quasi
biochar_2260_20,biochar_14_1,DUF4433 domain-containing protein,Quasi
biochar_717_23,biochar_717_23,virion structural protein,High
biochar_717_23,biochar_5957_1,virion structural protein,High
biochar_717_23,biochar_822_1,virion structural protein,High
biochar_717_23,biochar_822_53,virion structural protein,High
biochar_239_23,biochar_239_23,Helix-turn-helix DNA binding domain protein,High
biochar_239_23,biochar_238_1,Helix-turn-helix DNA binding domain protein,High
biochar_239_23,biochar_238_89,Helix-turn-helix DNA binding domain protein,High
biochar_245_69,biochar_245_69,toxin,High
biochar_245_69,biochar_247_71,toxin,High
biochar_245_69,biochar_242_69,toxin,High
biochar_1533_5,biochar_1533_5,MBG domain-containing protein,Quasi
biochar_1533_5,biochar_1497_29,MBG domain-containing protein,Quasi
biochar_1533_5,biochar_533_77,MBG domain-containing protein,Quasi
biochar_2762_7,biochar_2762_7,Tail protein,High
biochar_2762_7,biochar_4214_12,Tail protein,High
biochar_2762_7,biochar_3080_15,Tail protein,High
